2026-05-01 16:03:06 | SYSTEM | SERVER | STARTED
2026-05-01 16:07:05 | SYSTEM | ('10.100.102.19', 37838) | CONNECTED
2026-05-01 16:08:51 | IN | ('10.100.102.19', 37838) | login|A|A|1
2026-05-01 16:08:51 | OUT | ('10.100.102.19', 37838) | login|success|2
2026-05-01 16:08:51 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:08:54 | IN | ('10.100.102.19', 37838) | marker|place|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:08:54 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:08:54 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:08:54 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:08:57 | IN | ('10.100.102.19', 37838) | marker|place|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:08:57 | OUT | ('10.100.102.19', 37838) | place_marker|83|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:08:57 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:08:57 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:08:57 | OUT | ('10.100.102.19', 37838) | place_marker|83|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:09:00 | IN | ('10.100.102.19', 37838) | marker|place|Attack_Aircraft|31.759408810252395|35.18618915230036
2026-05-01 16:09:00 | OUT | ('10.100.102.19', 37838) | place_marker|84|Attack_Aircraft|31.759408810252395|35.18618915230036
2026-05-01 16:09:00 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:09:00 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:09:00 | OUT | ('10.100.102.19', 37838) | place_marker|83|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:09:00 | OUT | ('10.100.102.19', 37838) | place_marker|84|Attack_Aircraft|31.759408810252395|35.18618915230036
2026-05-01 16:09:04 | IN | ('10.100.102.19', 37838) | marker|place|Ship|32.085284584652655|35.33438187092543
2026-05-01 16:09:04 | OUT | ('10.100.102.19', 37838) | place_marker|85|Ship|32.085284584652655|35.33438187092543
2026-05-01 16:09:05 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:09:05 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:09:05 | OUT | ('10.100.102.19', 37838) | place_marker|83|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:09:05 | OUT | ('10.100.102.19', 37838) | place_marker|84|Attack_Aircraft|31.759408810252395|35.18618915230036
2026-05-01 16:09:05 | OUT | ('10.100.102.19', 37838) | place_marker|85|Ship|32.085284584652655|35.33438187092543
2026-05-01 16:09:11 | IN | ('10.100.102.19', 37838) | marker|place|Friendly_Mechine_Gunner|32.41026657220215|34.039070047438145
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|86|Friendly_Mechine_Gunner|32.41026657220215|34.039070047438145
2026-05-01 16:09:11 | IN | ('10.100.102.19', 37838) | marker|get_markers|2
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|82|Friendly_Armor|31.778299009368464|35.21084804087877
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|83|Armor|31.73442242417899|35.23049656301737
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|84|Attack_Aircraft|31.759408810252395|35.18618915230036
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|85|Ship|32.085284584652655|35.33438187092543
2026-05-01 16:09:11 | OUT | ('10.100.102.19', 37838) | place_marker|86|Friendly_Mechine_Gunner|32.41026657220215|34.039070047438145
2026-05-01 16:09:45 | SYSTEM | ('10.100.102.19', 37838) | DISCONNECTED
